ADMINITRADORA,ENDEREÇO,CONTATO
Precisa Administradora,"Av. Rio Branco, 203 - sala 203 - Centro, Garibaldi",543464-1344
Caza Administradora,"R. Dr. Carlos Barbosa, 200 - Sala 101 - Centro, Garibaldi",54 2125 5020
Exata Administradora,"Av. Rio Branco, 582 - sala 101 e 102 - Centro, Garibaldi",543462-6517
APPE ADMINISTRADORA,"R. Buarque de Macedo, 4211 - Centro, Carlos Barbosa",54996344202
Casaffare Administradora de Condominios,"Bento Gonçalves, 1200 - Sala 102 - Centro, Caxias do Sul",54 30670012
MAD administradora de condominios,"Av. Paulo Broilo, 665 - apto 303 - Centro, Farroupilha",54 99633 8219
Opusadmin,"Os Dezoito do Forte, 422 - Nossa Sra. de Lourdes, Caxias do Sul",5430663050
Imperia,"Rua Marechal Floriano, nÂº 1240, sala 101  - centro coml alvorada",54 3025 8665
LOTUS,"R. Evangelista Costa Paes, 152 - Cruzeiro, Caxias do Sul -",54 35371419
Habil cond,"R. Alfredo Chaves, 342 - Sala 03 e 04 - Centro",5499171 5022
AVIVRA ADMINISTRADORA,"R. Rui Barbosa, 20 - A - Sala 706 - Centro, Farroupilha",30351212
FOX SERVIÇOS COND,"Rua Pedro Tomasi, 937 - Centro, Caxias do Sul",3027 4020
Ellos GestÃO  de Condominial,"Av. Placidina de AraÃºjo, 591 - 201 - Centro, Nova Prata",54 3242 1111
Focco administração  de condominios,"R. Comendador Roberto Selmi Dei, 02 - Centro, Nova Prata",54 2121 4444
Sindico de verdade,"Rua Victor mocelin, Rua, 233 - Morada Dos Alpes, Caxias do Sul",54984066059
Priorittá sindico  Profissional,"Campo dos Bugres, 188 - Pio X, Caxias do Sul",54 3041 6229
PROLAR IMOVEIS,JULIO D CASTILHOS - CXS DO SUL,30268999
REAL ADMINISTRADORA,RUA TEODORO CAMARGO 146 VACARIA,54 99643 9241
